,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,479.948,22,2000,5,1,piece-wise,1028723,21341042.0,-19.745,1.24,25.65,-19.685,697799922.2,7551704139.4,-9.822,697799922.2,7549271782.4,-9.819
1,0,optimal_fw,0.005,22,2000,5,1,piece-wise,1028723,883593.8016423566,0.141,1.24,1.06,0.145,697799922.2,607164985.2896255,0.13,697799922.2,607163951.08,0.13
2,1,optimal,546.288,22,2000,5,1,piece-wise,993516,24588075.0,-23.749,1.25,30.9,-23.72,651946794.2,7599785164.4,-10.657,651946794.2,7597030106.4,-10.653
3,1,optimal_fw,0.005,22,2000,5,1,piece-wise,993516,851646.1450420745,0.143,1.25,1.07,0.144,651946794.2,576442314.7148609,0.116,651946794.2,576440253.76,0.116
4,0,optimal,1191.942,18,4000,5,1,piece-wise,1967940,50778775.0,-24.803,1.21,31.22,-24.802,1387210912.7,15897959059.8,-10.46,1387210912.7,15894281434.8,-10.458
5,0,optimal_fw,0.005,18,4000,5,1,piece-wise,1967940,1741809.0938786152,0.115,1.21,1.07,0.116,1387210912.7,1215664039.501747,0.124,1387210912.7,1215660835.73,0.124
6,1,optimal,1081.903,19,4000,5,1,piece-wise,2037865,50707382.0,-23.883,1.25,31.12,-23.896,1323968126.9,15625636722.6,-10.802,1323968126.9,15619827479.6,-10.798
7,1,optimal_fw,0.005,19,4000,5,1,piece-wise,2037865,1748616.9117192666,0.142,1.25,1.07,0.144,1323968126.9,1179602355.0568178,0.109,1323968126.9,1179595106.62,0.109
8,0,optimal,2070.804,27,6000,5,1,piece-wise,2961982,18561139.0,-5.266,1.2,7.55,-5.292,2106708943.1,12159551236.6,-4.772,2106708943.1,12157887408.6,-4.771
9,0,optimal_fw,0.004,27,6000,5,1,piece-wise,2961982,2549205.0992962527,0.139,1.2,1.04,0.133,2106708943.1,1840766991.785986,0.126,2106708943.1,1840765867.09,0.126
10,1,optimal,2168.774,32,6000,5,1,piece-wise,2974998,76766434.0,-24.804,1.22,31.55,-24.861,2043414821.0,23338312352.6,-10.421,2043414821.0,23331000989.6,-10.418
11,1,optimal_fw,0.004,32,6000,5,1,piece-wise,2974998,2537458.1479062187,0.147,1.22,1.04,0.148,2043414821.0,1793807524.7852757,0.122,2043414821.0,1793803771.49,0.122
12,0,optimal,2686.215,26,8000,5,1,piece-wise,3854311,48098443.0,-11.479,1.2,14.97,-11.475,2745795476.1,24727003678.0,-8.005,2745795476.1,24720672645.0,-8.003
13,0,optimal_fw,0.004,26,8000,5,1,piece-wise,3854311,3343841.3143977565,0.132,1.2,1.04,0.133,2745795476.1,2417568233.237623,0.12,2745795476.1,2417564682.26,0.12
14,1,optimal,2570.469,22,8000,5,1,piece-wise,4057158,99927131.0,-23.63,1.26,31.08,-23.667,2535428860.0,30652127836.0,-11.09,2535428860.0,30641961742.0,-11.086
15,1,optimal_fw,0.005,22,8000,5,1,piece-wise,4057158,3505754.1864198223,0.136,1.26,1.09,0.135,2535428860.0,2312917525.229734,0.088,2535428860.0,2312909835.82,0.088
16,0,optimal,3683.677,24,10000,5,1,piece-wise,4847483,122903845.0,-24.354,1.19,30.19,-24.37,3501312090.6,39480631288.8,-10.276,3501312090.6,39464186308.8,-10.271
17,0,optimal_fw,0.004,24,10000,5,1,piece-wise,4847483,4316312.99137999,0.11,1.19,1.06,0.109,3501312090.6,3095549896.698961,0.116,3501312090.6,3095545456.17,0.116
18,1,optimal,2996.6,21,10000,5,1,piece-wise,4967917,126023094.0,-24.367,1.23,31.15,-24.325,3321163694.4,39486719825.6,-10.889,3321163694.4,39475759613.6,-10.886
19,1,optimal_fw,0.004,21,10000,5,1,piece-wise,4967917,4353301.809147984,0.124,1.23,1.08,0.122,3321163694.4,2974207795.856608,0.104,3321163694.4,2974198475.34,0.104
