repeat,no_households,algorithm,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,20,optimal,1.493,7,5,0,piece-wise,28104,226501.0,-7.059,3.24,26.11,-7.059,6717010.3,77718895.2,-10.57,6717010.3,77718895.2,-10.57
0,20,optimal_fw,0.001,7,5,0,piece-wise,28104,21891.20611126348,0.221,3.24,2.52,0.222,6717010.3,5891101.82,0.123,6717010.3,5891101.82,0.123
0,20,heuristic,0.001,5,5,0,piece-wise,28104,40903.0,-0.455,3.24,4.72,-0.457,6717010.3,10930946.8,-0.627,6717010.3,10930946.8,-0.627
0,20,heuristic_fw,0.002,5,5,0,piece-wise,28104,14289.491010442409,0.492,3.24,1.65,0.491,6717010.3,5828606.02,0.132,6717010.3,5828606.02,0.132
1,20,optimal,1.529,7,5,0,piece-wise,29420,159084.0,-4.407,3.42,18.48,-4.404,6854136.9,70711516.0,-9.317,6854136.9,70711516.0,-9.317
1,20,optimal_fw,0.001,7,5,0,piece-wise,29420,22395.905643049944,0.239,3.42,2.6,0.24,6854136.9,5830939.14,0.149,6854136.9,5830939.14,0.149
1,20,heuristic,0.0,7,5,0,piece-wise,29420,31350.0,-0.066,3.42,3.64,-0.064,6854136.9,6792642.0,0.009,6854136.9,6792642.0,0.009
1,20,heuristic_fw,0.001,7,5,0,piece-wise,29420,15314.016290283282,0.479,3.42,1.78,0.48,6854136.9,5786445.7,0.156,6854136.9,5786445.7,0.156
0,40,optimal,3.08,9,5,0,piece-wise,45529,325292.0,-6.145,2.35,16.79,-6.145,14156416.0,159395410.9,-10.26,14156416.0,159395410.9,-10.26
0,40,optimal_fw,0.001,9,5,0,piece-wise,45529,36089.15161751732,0.207,2.35,1.86,0.209,14156416.0,13124751.53,0.073,14156416.0,13124751.53,0.073
0,40,heuristic,0.001,8,5,0,piece-wise,45529,52829.0,-0.16,2.35,2.73,-0.162,14156416.0,17854235.8,-0.261,14156416.0,17854235.8,-0.261
0,40,heuristic_fw,0.002,8,5,0,piece-wise,45529,24892.068751246108,0.453,2.35,1.29,0.451,14156416.0,13018225.89,0.08,14156416.0,13018225.89,0.08
1,40,optimal,3.043,7,5,0,piece-wise,53104,589471.0,-10.1,2.66,29.55,-10.109,15231883.1,188197916.4,-11.356,15231883.1,188197916.4,-11.356
1,40,optimal_fw,0.001,7,5,0,piece-wise,53104,45390.393924880045,0.145,2.66,2.28,0.143,15231883.1,13656141.63,0.103,15231883.1,13656141.63,0.103
1,40,heuristic,0.001,4,5,0,piece-wise,53104,40482.0,0.238,2.66,2.03,0.237,15231883.1,13497256.4,0.114,15231883.1,13497256.4,0.114
1,40,heuristic_fw,0.002,4,5,0,piece-wise,53104,29013.472948402115,0.454,2.66,1.45,0.455,15231883.1,13405686.3,0.12,15231883.1,13405686.3,0.12
0,60,optimal,4.822,5,5,0,piece-wise,51024,651964.0,-11.778,2.16,27.54,-11.75,17109806.4,206307215.2,-11.058,17109806.4,206307215.2,-11.058
0,60,optimal_fw,0.0,5,5,0,piece-wise,51024,46746.567477634104,0.084,2.16,1.97,0.088,17109806.4,16336657.25,0.045,17109806.4,16336657.25,0.045
0,60,heuristic,0.001,5,5,0,piece-wise,51024,49363.0,0.033,2.16,2.09,0.032,17109806.4,17073059.7,0.002,17109806.4,17073059.7,0.002
0,60,heuristic_fw,0.002,5,5,0,piece-wise,51024,32086.886589346163,0.371,2.16,1.36,0.37,17109806.4,15922851.02,0.069,17109806.4,15922851.02,0.069
1,60,optimal,4.66,8,5,0,piece-wise,56563,489408.0,-7.652,2.28,19.69,-7.636,17739493.3,218662731.4,-11.326,17739493.3,218662731.4,-11.326
1,60,optimal_fw,0.0,8,5,0,piece-wise,56563,50180.861216781195,0.113,2.28,2.02,0.114,17739493.3,16946099.72,0.045,17739493.3,16946099.72,0.045
1,60,heuristic,0.001,8,5,0,piece-wise,56563,50987.0,0.099,2.28,2.05,0.101,17739493.3,17261779.4,0.027,17739493.3,17261779.4,0.027
1,60,heuristic_fw,0.002,8,5,0,piece-wise,56563,33138.535296381975,0.414,2.28,1.33,0.417,17739493.3,16711703.72,0.058,17739493.3,16711703.72,0.058
